SEP,Funnetdato,Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Individ,Kon
SEP0154107,2019-09-18,7108030,708384,535,Hane
SEP0158051,2019-09-11,7212769,587092,536,Hona
SEP0160002,2019-09-20,7197314,604705,537,Hona
SEP0153365,2019-09-26,7197364,604525,537,Hona
SEP0155782,2019-09-09,7125667,681930,538,Hona
SEP0158044,2019-09-10,7130829,670977,538,Hona
SEP0155778,2019-09-14,7137888,676306,538,Hona
SEP0155755,2019-09-13,7135111,678984,538,Hona
SEP0163829,2019-10-11,7137206,676340,538,Hona
SEP0154525,2019-09-06,7232690,604273,540,Hane
SEP0153344,2019-09-22,7206413,632331,540,Hane
SEP0153366,2019-09-25,7223631,615234,540,Hane
SEP0160024,2019-10-02,7207606,635029,540,Hane
SEP0156018,2019-10-09,7222600,618209,540,Hane
SEP0156388,2019-08-22,7157426,538398,542,Hona
SEP0159801,2019-09-08,7148947,706531,545,Hona
SEP0158947,2019-09-19,7138369,673705,546,Hane
SEP0159846,2019-10-04,7118422,675763,546,Hane
SEP0164422,2019-09-25,7240005,790423,553,Hane
SEP0164405,2019-10-05,7237485,789391,553,Hane
SEP0161677,2019-10-18,7117341,579361,555,Hona
SEP0159074,2019-10-18,7116672,580320,555,Hona
SEP0160969,2019-09-12,7127334,661684,556,Hane
SEP0157031,2019-09-12,7132849,663448,556,Hane
SEP0153568,2019-09-23,7133377,663241,556,Hane
SEP0160913,2019-09-27,7131358,658636,556,Hane
SEP0164002,2019-09-07,7163009,628976,557,Hane
SEP0159552,2019-09-08,7212520,694492,557,Hane
SEP0159565,2019-09-10,7212566,694539,557,Hane
SEP0159599,2019-09-10,7212596,694508,557,Hane
SEP0159577,2019-09-08,7212596,694508,557,Hane
SEP0159579,2019-09-10,7212596,694508,557,Hane
SEP0159582,2019-09-10,7212566,694539,557,Hane
SEP0162908,2019-09-24,7190551,661534,557,Hane
SEP0152966,2019-10-06,7212313,694399,557,Hane
SEP0161150,2019-10-12,7205629,677898,557,Hane
SEP0157916,2019-09-07,7084878,694010,559,Hane
SEP0164083,2019-08-21,7166493,633638,560,Hane
SEP0164036,2019-08-31,7162908,635424,560,Hane
SEP0162955,2019-09-25,7163568,652860,560,Hane
SEP0153776,2019-09-10,7167302,622007,561,Hane
SEP0163810,2019-09-17,7165271,614602,561,Hane
SEP0155334,2019-09-05,7120199,612247,562,Hane
SEP0155389,2019-09-19,7117711,613694,562,Hane
SEP0158923,2019-09-17,7117506,613955,562,Hane
SEP0155957,2019-10-01,7117619,613728,562,Hane
SEP0161182,2019-10-10,7121177,610693,562,Hane
SEP0161550,2019-09-02,7134533,714499,563,Hona
SEP0158946,2019-08-31,7121732,725623,564,Hane
SEP0158950,2019-08-31,7112788,722844,564,Hane
SEP0159785,2019-09-08,7228285,679148,568,Hane
SEP0152962,2019-09-23,7211899,704158,568,Hane
SEP0160163,2019-10-24,7099179,691043,570,NA
SEP0163807,2019-09-28,7174281,638353,1008,Hona
SEP0155086,2019-10-06,7146124,537344,139B,Hane
SEP0156831,2019-08-26,7092414,687651,176B,Hane
SEP0157375,2019-09-26,7093018,686602,176B,Hane
SEP0153772,2019-09-26,7161306,611067,190B,Hane
SEP0163695,2019-09-29,7162531,609074,190B,Hane
SEP0156610,2019-09-05,7149420,545794,191B,Hona
SEP0155323,2019-09-13,7109140,598367,198B,Hane
SEP0158796,2019-08-24,7255749,645359,20B,Hona
SEP0156500,2019-08-22,7180011,651178,222B,Hona
SEP0153626,2019-08-31,7182134,653160,222B,Hona
SEP0158808,2019-09-07,7241646,562282,225B,Hona
SEP0153229,2019-09-23,7126130,566817,253B,Hona
SEP0153238,2019-09-28,7129456,570655,253B,Hona
SEP0163838,2019-08-24,7135320,685997,255B,Hona
SEP0155992,2019-10-14,7128471,630405,255B,Hona
SEP0161702,2019-09-09,7144001,604326,281B,Hane
SEP0155678,2019-08-31,7219982,591893,286B,Hona
SEP0158140,2019-08-30,7191807,581657,289B,Hane
SEP0157660,2019-09-03,7185013,605947,289B,Hane
SEP0164395,2019-10-02,7103656,582855,303B,Hane
SEP0155051,2019-09-11,7154764,587114,304B,Hona
SEP0161695,2019-09-25,7156320,588716,304B,Hona
SEP0155686,2019-09-07,7218107,590374,309B,Hane
SEP0162620,2019-09-15,7136778,599020,319B,Hona
SEP0155379,2019-08-21,7139150,629749,321B,Hona
SEP0153260,2019-09-08,7139599,557429,323B,Hona
SEP0153136,2019-09-05,7162065,668607,333B,Hane
SEP0155719,2019-09-06,7156414,671099,333B,Hane
SEP0156559,2019-09-22,7161234,669289,333B,Hane
SEP0156968,2019-10-08,7145352,543732,355B,Hona
SEP0153299,2019-10-14,7145667,546246,355B,Hona
SEP0163325,2019-09-08,7175014,566002,364B,Hane
SEP0160558,2019-09-07,7161090,577741,364B,Hane
SEP0157428,2019-09-01,7086561,687102,365B,NA
SEP0155303,2019-10-01,7103515,613328,365C,NA
SEP0157519,2019-08-24,7122316,657103,368A,Hona
SEP0157529,2019-08-22,7112007,665074,368A,Hona
SEP0160957,2019-09-23,7123979,654630,368A,Hona
SEP0157592,2019-09-26,7123103,660370,368A,Hona
SEP0152789,2019-09-26,7123103,660370,368A,Hona
SEP0160944,2019-09-26,7123103,660370,368A,Hona
SEP0160972,2019-09-28,7123115,660408,368A,Hona
SEP0157598,2019-09-29,7123262,662849,368A,Hona
SEP0160936,2019-10-10,7123116,660455,368A,Hona
SEP0160931,2019-10-09,7121542,658725,368A,Hona
SEP0160391,2019-10-04,7119630,671723,368A,Hona
SEP0162300,2019-10-12,7123554,655946,368A,Hona
SEP0155557,2019-09-08,7132474,592118,368B,Hane
SEP0155330,2019-09-05,7137133,593039,368B,Hane
SEP0153205,2019-09-16,7131071,578294,387B,Hane
SEP0158792,2019-08-25,7253313,650172,389B,Hane
SEP0160655,2019-09-22,7126761,552548,428B,Hona
SEP0152987,2019-09-27,7210848,716166,445B,Hona
SEP0155338,2019-08-21,7158590,658712,447B,Hane
SEP0160140,2019-09-07,7094389,696611,454B,Hona
SEP0160073,2019-08-21,7111885,682262,491B,Hane
SEP0157524,2019-08-26,7111059,667730,491B,Hane
SEP0156961,2019-09-10,7189638,621071,504B,Hane
SEP0159322,2019-09-25,7185982,609486,504B,Hane
SEP0156574,2019-10-12,7115544,677940,513B,Hane
SEP0160377,2019-10-06,7117846,666685,513B,Hane
SEP0155328,2019-09-06,7106099,618138,517B,Hane
SEP0155736,2019-09-23,7131050,664356,517C,NA
SEP0152790,2019-09-24,7117347,669353,529B,Hona
SEP0163369,2019-10-06,7118512,668770,529B,Hona
SEP0160379,2019-10-04,7119872,665194,529B,Hona
SEP0157548,2019-08-25,7119417,661729,538B,Hona
SEP0159231,2019-09-04,7187813,541220,542B,Hona
SEP0154986,2019-08-21,7234679,601350,562B,Hona
SEP0163305,2019-09-09,7133457,693432,569C,NA
SEP0163308,2019-09-10,7141940,690042,570B,NA
SEP0164366,2019-09-18,7101047,660191,63B,Hane
SEP0157127,2019-10-08,7147682,545948,69B,Hona
SEP0164088,2019-08-25,7172934,636089,72B,Hane
SEP0160748,2019-09-16,7184787,640154,72B,Hane
SEP0161468,2019-08-25,7158557,590236,90B,NA
SEP0153297,2019-10-25,7133969,572276,94B,Hane
SEP0162267,2019-10-12,7158942,565896,98B,Hane
SEP0157520,2019-08-30,7109609,663896,A311,Hona
SEP0154718,2019-09-02,7200349,629499,A313,NA
SEP0164293,2019-09-03,7187451,548300,A315,Hona
SEP0154785,2019-09-02,7207913,590097,A316,Hane
SEP0158053,2019-08-31,7213020,586925,A316,Hane
SEP0163326,2019-08-31,7212893,587610,A316,Hane
SEP0157612,2019-09-04,7200245,581202,A319,Hona
SEP0163277,2019-09-04,7160733,670698,A32,Hane
SEP0156672,2019-09-04,7211438,594791,A321,Hona
SEP0163431,2019-08-22,7200723,629438,A323,Hona
SEP0156096,2019-08-31,7224570,587713,A324,NA
SEP0163780,2019-09-04,7198306,531816,A325,Hona
SEP0155445,2019-09-02,7154008,552551,A326,Hane
SEP0163862,2019-09-04,7111900,729181,A34,Hane
SEP0153308,2019-09-02,7241379,593736,A35,NA
SEP0156696,2019-09-03,7128184,653227,A37,NA
SEP0164247,2019-09-03,7063725,705346,A39,Hona
